GCAM_region_ID,Land_Type,GLU,soil_c,veg_c,mature age
5,Shrubland,GLU087,9.430795922,3.374425977,29.23372173
5,Shrubland,GLU142,9.555565407,6.650453559,19.00555254
5,Shrubland,GLU144,2.037965664,0.528949879,50
5,Shrubland,GLU149,2.081128244,0.490283698,50
5,Shrubland,GLU151,2.001257514,1.061033958,49.99285917
5,Shrubland,GLU152,3.111132973,1.84220482,48.07326475
5,Shrubland,GLU160,4,0.5,50
5,Shrubland,GLU162,16.7076894,10.02473584,50
5,Shrubland,GLU183,16.16526842,13.04258839,24.56362414
6,Forest,GLU184,10,11.49848227,40
6,Forest,GLU189,11.00003868,16.26238583,48.91680726
6,Forest,GLU191,8.595451892,11.82518418,47.88579689
6,Forest,GLU193,0,0,35
6,Forest,GLU201,24.9980247,11.79985911,50
6,Forest,GLU202,9.565165299,11.90843555,44.34834701
6,Forest,GLU208,9.968469411,18.65644599,49.90352197
6,Forest,GLU211,17.51257177,18.97450061,49.36373282
6,Grassland,GLU184,6.109055701,5.38625032,23.35735277
6,Grassland,GLU189,6.75383111,1.391158871,17.16139554
6,Grassland,GLU191,7.544742246,3.979172528,19.67002053
6,Grassland,GLU193,3,0.474853742,21.89484575
6,Grassland,GLU201,20.52161483,5.346803436,13.02977277
6,Grassland,GLU202,4.267624446,0.708971984,23.91513552
6,Grassland,GLU208,5.321803196,0.83218032,16.11426072
6,Grassland,GLU211,23.31486877,9.476653307,24.74854222
6,RockIceDesert,GLU184,10,0.2,50
6,RockIceDesert,GLU191,8,0.2,50
6,RockIceDesert,GLU193,2.012005019,0.1,50
6,RockIceDesert,GLU201,8.5,0,50
6,RockIceDesert,GLU202,8,0.1,50
6,Shrubland,GLU184,4,0.557665945,34.35245493
6,Shrubland,GLU189,6.940367862,7.974388113,18.95411421
6,Shrubland,GLU191,4,3.335509227,35.70743072
6,Shrubland,GLU193,3,0.528890066,37.60771367
6,Shrubland,GLU202,3.38146248,1.609473204,43.89660032
6,Shrubland,GLU208,4.792777931,5.959906569,24.63110619
6,Shrubland,GLU211,27,10.91765207,18
6,Tundra,GLU201,22,7.341833722,50
7,Forest,GLU156,13,15.64737127,40
7,Forest,GLU161,8,18.12159675,39.95505917
7,Forest,GLU168,8.995269996,16.97873441,39.98817499
7,Forest,GLU172,6.987204489,9.904006804,39.93602244
7,Forest,GLU174,7,15.14441144,39.85325479
7,Forest,GLU186,8.59248093,6.45453982,38.98120233
7,Forest,GLU187,5,8.225473933,38.30460055
7,Forest,GLU192,6.863125279,8.658216581,35.6843736
7,Forest,GLU195,9.773847728,9.350370396,38.86923864
7,Forest,GLU206,9.814460793,8.829299173,38.3132522
7,Grassland,GLU156,10,0.8,29
7,Grassland,GLU161,11,4.41811453,18.07986492
7,Grassland,GLU168,9.837204071,9.241336817,20.27328066
7,Grassland,GLU172,5.985687258,4.824141249,24.31798553
7,Grassland,GLU174,6,4.718243176,25.81467053
7,Grassland,GLU186,5,4.5795914,13.39025764
7,Grassland,GLU187,5,4.689995979,26.78015295
7,Grassland,GLU192,6.054763436,5.093957624,27.95949472
7,Grassland,GLU195,10,4.251987402,21.32684201
7,Grassland,GLU206,8.956083759,4.365907037,22.38853047
7,RockIceDesert,GLU161,3.8,0.1,50
7,RockIceDesert,GLU168,3.8,0.1,50
7,RockIceDesert,GLU172,6,0.59999099,50
7,RockIceDesert,GLU174,3.8,0.1,50
7,RockIceDesert,GLU186,6,1.7,50
7,RockIceDesert,GLU192,2.193188553,0.4,50
7,RockIceDesert,GLU195,11,0.3,50
7,RockIceDesert,GLU206,3.8,0.1,50
7,Shrubland,GLU161,11,2.8,18
7,Shrubland,GLU168,12.36577911,7.731720388,19.30054796
7,Shrubland,GLU172,6.074394918,8.373961779,19.19031869
7,Shrubland,GLU174,6.015386179,6.977772862,18.16411925
7,Shrubland,GLU186,5.001044424,4.80371492,18.01114052
7,Shrubland,GLU187,5,7.899945463,18
7,Shrubland,GLU192,5,8.000811958,18
7,Shrubland,GLU195,7.189522435,8.260139687,18.75808974
7,Shrubland,GLU206,10.94288382,7.333146058,24.21722821
7,Tundra,GLU156,12,1.1,50
7,Tundra,GLU168,8,0.5,50
8,Forest,GLU002,33.57807102,5.518769328,50
