Data source,Region,Forest types,Time,Age types,Texture,depth,OC_decrease,References,Initial_Land_Use,Final_Land_Use,Location,GCAM Basin,GLU_code,GCAM_region_ID
"Geissen  et al., 2011",Mexico,Tropical forest,25,11-50 yr,,0-10 cm,56.80272109,"Geissen V, Pena-Pena K, Huerta E. 2009. Effects of different land use on soil chemical properties, decomposition rate and earthworm communities in tropical Mexico. Pedobiologia, 53: 75-88",Forest,Cropland,"Tabasco, SE Mexico",GrijUsuR,GLU133,20
"Geissen  et al., 2012",Mexico,Tropical forest,30,11-50 yr,,0-10 cm,40.47619048,"Geissen V, Pena-Pena K, Huerta E. 2009. Effects of different land use on soil chemical properties, decomposition rate and earthworm communities in tropical Mexico. Pedobiologia, 53: 75-89",Forest,Cropland,"Tabasco, SE Mexico",GrijUsuR,GLU133,20
"Ghuman and Lal, 1991",Nigeria,Tropical forest,2,<=10 yr,loam,0-10 cm,14.60674157,"Ghuman BC, Lal R. 1991. Land clearing and use in the humid nigerian tropics II. soil chemical properties. Soil Science Society of America Journal, 55: 184-188",Forest,Cropland,"Okomu, southern Nigeria",,,
,,Tropical forest,4,<=10 yr,loam,0-10 cm,41.57303371,,Forest,Cropland,,,,
,,Tropical forest,2,<=10 yr,loam,0-10 cm,24.15730337,,Forest,Cropland,,,,
,,Tropical forest,4,<=10 yr,loam,0-10 cm,37.64044944,,Forest,Cropland,,,,
,,Tropical forest,2,<=10 yr,loam,0-10 cm,26.96629213,,Forest,Cropland,,,,
,,Tropical forest,4,<=10 yr,loam,0-10 cm,40.4494382,,Forest,Cropland,,,,
,,Tropical forest,2,<=10 yr,loam,0-10 cm,28.65168539,,Forest,Cropland,,,,
,,Tropical forest,4,<=10 yr,loam,0-10 cm,42.69662921,,Forest,Cropland,,,,
"Hartemink, 1997",Tanzania,Tropical forest,60,>50 yr,clayey,0-20 cm,19.04761905,"Hartemink AE. 1997. Soil fertility decline in some major soil groupings under permanent cropping in Tanga region, Tanzania. Geoderma, 75: 215-229",Forest,Cropland,"Tanga, Tanzania",AfrCstE,GLU171,4
"Hartemink, 1998",Tanzania,Tropical forest,60,>50 yr,clayey,0-20 cm,26.66666667,"Hartemink AE. 1997. Soil fertility decline in some major soil groupings under permanent cropping in Tanga region, Tanzania. Geoderma, 75: 215-230",Forest,Cropland,"Tanga, Tanzania",AfrCstE,GLU171,4
"Hartemink, 1999",Tanzania,Tropical forest,60,>50 yr,clayey,0-20 cm,0,"Hartemink AE. 1997. Soil fertility decline in some major soil groupings under permanent cropping in Tanga region, Tanzania. Geoderma, 75: 215-231",Forest,Cropland,"Tanga, Tanzania",AfrCstE,GLU171,4
"Hartemink, 2000",Tanzania,Tropical forest,60,>50 yr,clayey,0-20 cm,-78.94736842,"Hartemink AE. 1997. Soil fertility decline in some major soil groupings under permanent cropping in Tanga region, Tanzania. Geoderma, 75: 215-232",Forest,Cropland,"Tanga, Tanzania",AfrCstE,GLU171,4
"Hölscher et al., 1997",Brazil,Tropical forest,1,<=10 yr,loam,0-10 cm,29.49640288,"Hölscher D, Ludwig B, Möller RF, Fölster H. 1997. Dynamic of soil chemical parameters in shifting agriculture in the Eastern Amazon. Agriculture, Ecosystems and Environment, 66: 153-163",Forest,Cropland,"Pará, Brazil",AmazonR,GLU168,7
"Hölscher et al., 1998",Brazil,Tropical forest,1,<=10 yr,loam,0-10 cm,1.31E-14,"Hölscher D, Ludwig B, Möller RF, Fölster H. 1997. Dynamic of soil chemical parameters in shifting agriculture in the Eastern Amazon. Agriculture, Ecosystems and Environment, 66: 153-164",Forest,Cropland,"Pará, Brazil",AmazonR,GLU168,7
"Hsieh, 1996",Belize,Tropical forest,15,11-50 yr,clayey,0-25 cm,36.09129815,"Hsieh YP. 1996. Soil organic carbon pools of two tropical soils inferred by carbon signatures. Soil Science Society of America Journal, 60: 1117-1121",Forest,Cropland,Belize,YucatanP,GLU111,9
"Hsieh, 1997",Belize,Tropical forest,20,11-50 yr,clayey,0-15 cm,32,"Hsieh YP. 1996. Soil organic carbon pools of two tropical soils inferred by carbon signatures. Soil Science Society of America Journal, 60: 1117-1122",Forest,Cropland,Belize,YucatanP,GLU111,9
"Juo and Lal, 1977",Nigeria,Tropical forest,3,<=10 yr,clay loam,0-15 cm,18.3908046,"Juo ASR, Lal R. 1977. Effect of fallow and continuous cultivation on chemical and physical-properties of an alfisol in Western Nigeria. Plant and Soil, 47: 567-584",Forest,Cropland,"IITA Experimental Farm, Nigeria",,,
,,Tropical forest,3,<=10 yr,clay loam,0-15 cm,9.770114943,,Forest,Cropland,,,,
,,Tropical forest,3,<=10 yr,clay loam,0-15 cm,36.7816092,,Forest,Cropland,,,,
,,Tropical forest,3,<=10 yr,clay loam,0-15 cm,30.45977011,,Forest,Cropland,,,,
,,Tropical forest,3,<=10 yr,clay loam,0-15 cm,43.67816092,,Forest,Cropland,,,,
"King and Campbell, 1994",Zimbabwe,Tropical forest,14,11-50 yr,clay loam,0-20 cm,42.66090247,"King JA, Campbell BM. 1994. Soil organic-matter relations in 5 land-cover types in the Miombo region (Zimbabwe). Forest Ecology and Management, 67: 225-239",Forest,Cropland,"Marondera, Zimbabwe, 18 10' S, 31 30' E",,,
"Riezebos and Loerts, 1998",Paraguay,Tropical forest,10,<=10 yr,clayey,0-10 cm,34.7107438,"Riezebos HT, Loerts AC. 1998. Influence of land use change and tillage practice on soil organic matter in southern Brazil and eastern Paraguay. Soil & Tillage Research, 49: 271-275",Forest,Cropland,,,,
,,Tropical forest,11,11-50 yr,clayey,0-10 cm,34.29752066,,Forest,Cropland,,,,
,,Tropical forest,26,11-50 yr,clayey,0-10 cm,23.92344498,,Forest,Cropland,,,,
,,Tropical forest,33,11-50 yr,clayey,0-10 cm,30.62200957,,Forest,Cropland,,,,
,,Tropical forest,30,11-50 yr,clayey,0-10 cm,9.090909091,,Forest,Cropland,,,,
"Roscoe and Buurman, 2003",Brazil,Tropical forest,30,11-50 yr,clayey,0-15 cm,38.17787157,"Roscoe R, Buurman P. 2003. Tillage effects on soil organic matter in density fractions of a Cerrado Oxisol. Soil & Tillage Research, 70: 107-119",Forest,Cropland,"19°26?S, 44°10?W, Brasil",SaoFrancR,GLU192,7
"Roscoe and Buurman, 2004",Brazil,Tropical forest,30,11-50 yr,clayey,0-15 cm,30.32666314,"Roscoe R, Buurman P. 2003. Tillage effects on soil organic matter in density fractions of a Cerrado Oxisol. Soil & Tillage Research, 70: 107-120",Forest,Cropland,"19°26?S, 44°10?W, Brasil",SaoFrancR,GLU192,7
