Data source,Region,Forest types,Time,Age types,Texture,depth,OC_decrease,References,Initial_Land_Use,Final_Land_Use,Location,GCAM Basin,GLU_code,GCAM_region_ID
"Olson  et al., 2017",America,Temperate forest,150,>50 yr,Loam,0-7.5 cm,72.5,"Olson KR, Gennadiyev AN, Zhidkin AP, Markelov MV. 2011. Impact of land use change and soil erosion in upper Mississippi river valley on soil organic carbon retention and greenhouse gas emissions. Soil Science, 176: 449-464",Forest,Cropland,"Albany Mounds, IL",MissppRN,GLU218,1
"Olson  et al., 2018",America,Temperate forest,150,>50 yr,Loam,0-7.5 cm,67.79141104,"Olson KR, Gennadiyev AN, Zhidkin AP, Markelov MV. 2011. Impact of land use change and soil erosion in upper Mississippi river valley on soil organic carbon retention and greenhouse gas emissions. Soil Science, 176: 449-465",Forest,Cropland,"Albany Mounds, IL",MissppRN,GLU218,1
"Olson  et al., 2019",America,Temperate forest,150,>50 yr,Loam,0-7.5 cm,63.49206349,"Olson KR, Gennadiyev AN, Zhidkin AP, Markelov MV. 2011. Impact of land use change and soil erosion in upper Mississippi river valley on soil organic carbon retention and greenhouse gas emissions. Soil Science, 176: 449-466",Forest,Cropland,"Albany Mounds, IL",MissppRN,GLU218,1
"Olson  et al., 2020",America,Temperate forest,150,>50 yr,Loam,0-7.5 cm,62.67281106,"Olson KR, Gennadiyev AN, Zhidkin AP, Markelov MV. 2011. Impact of land use change and soil erosion in upper Mississippi river valley on soil organic carbon retention and greenhouse gas emissions. Soil Science, 176: 449-467",Forest,Cropland,"Albany Mounds, IL",MissppRN,GLU218,1
"Ellert and Gregorich, 1996",Canada,Boreal forest,68,>50 yr,clay loam,surface,24.28256071,"Ellert BH, Gregorich EG. 1996. Storage of carbon, nitrogen and phosphorus in cultivated and adjacent forested soils of Ontario. Soil Science, 161: 587-603",Forest,Cropland,,,,
,,Boreal forest,25,11-50 yr,Loam,surface,20.2633504,,Forest,Cropland,,,,
,,Boreal forest,50,11-50 yr,Loam,surface,55.27272727,,Forest,Cropland,,,,
,,Boreal forest,50,11-50 yr,clay loam,surface,68.18862275,,Forest,Cropland,,,,
,,Boreal forest,50,11-50 yr,clay loam,surface,37.88037775,,Forest,Cropland,,,,
,,Boreal forest,50,11-50 yr,clayey,surface,23.49246231,,Forest,Cropland,,,,
,,Boreal forest,50,11-50 yr,clayey,surface,7.680569685,,Forest,Cropland,,,,
,,Boreal forest,53,>50 yr,clayey,surface,4.156171285,,Forest,Cropland,,,,
,,Boreal forest,50,11-50 yr,Loam,surface,30.51470588,,Forest,Cropland,,,,
,,Boreal forest,145,>50 yr,Loam,surface,23.70283019,,Forest,Cropland,,,,
,,Boreal forest,91,>50 yr,clayey,surface,40.26590693,,Forest,Cropland,,,,
,,Boreal forest,85,>50 yr,clay loam,surface,34.22756707,,Forest,Cropland,,,,
,,Boreal forest,145,>50 yr,Loam,surface,29.02654867,,Forest,Cropland,,,,
,,Boreal forest,105,>50 yr,clayey,surface,48.70384918,,Forest,Cropland,,,,
,,Boreal forest,50,11-50 yr,clayey,surface,47.15277778,,Forest,Cropland,,,,
"Rolfe and Boggess, 1973",America,Temperate forest,35,11-50 yr,,0-15 cm,52.1841269,"Rolfe GL, Boggess WR. 1973. Soil condition under old field and forest cover in Southern Illinois. Soil Science Society of America Proceedings, 37: 314-318",Forest,Cropland,,,,
"Shi and Tang, 1996",China,Temperate forest,2,<=10 yr,,0-20cm,8.444444444,"Shi YX, Tang KL. 1996. Soil nutrient degradation under influence of forest land accelerated erosion. Journal of Soil Erosion and Soil and Water Conservation, 2: 26-33",Forest,Cropland,,,,
,,Temperate forest,4,<=10 yr,,0-20cm,20.82539683,,Forest,Cropland,,,,
,,Temperate forest,6,<=10 yr,,0-20cm,35.11111111,,Forest,Cropland,,,,
,,Temperate forest,10,<=10 yr,,0-20cm,54.79365079,,Forest,Cropland,,,,
,,Temperate forest,15,11-50 yr,,0-20cm,67.80952381,,Forest,Cropland,,,,
,,Temperate forest,20,11-50 yr,,0-20cm,79.93650794,,Forest,Cropland,,,,
,,Temperate forest,30,11-50 yr,,0-20cm,78.73015873,,Forest,Cropland,,,,
"Zhang, 1999",China,Tropical forest,0.5,<=10 yr,clayey,0-20 cm,2.711864407,"Zhang MK. 1999. Numerical analysis of soil fertility degradation in the reclamation process of forest land on low hilly red soil. Journal of Zhejiang University (Natural Science), 33: 101-106",Forest,Cropland,,,,
,,Tropical forest,1,<=10 yr,clayey,0-20 cm,10.84745763,,Forest,Cropland,,,,
,,Tropical forest,2,<=10 yr,clayey,0-20 cm,20.6779661,,Forest,Cropland,,,,
,,Tropical forest,11,11-50 yr,clayey,0-20 cm,50.84745763,,Forest,Cropland,,,,
,,Tropical forest,37,11-50 yr,clayey,0-20 cm,62.37288136,,Forest,Cropland,,,,
"Xia  et al., 2005",China,Tropical forest,22,11-50 yr,clayey,0-30 cm,34.2576915,"Xia JQ, Zhang MK, Xu JM. 2005. Effects of the reclamation of forest land on organic carbon, nitrogen and phosphorus pools in red soils of different texturel. Chinese Journal of Soil Science, 36:185-189",Forest,Cropland,,,,
,,Tropical forest,24,11-50 yr,clayey,0-30 cm,46.47023548,,Forest,Cropland,,,,
,,Tropical forest,22,11-50 yr,loam,0-30 cm,46.43405035,,Forest,Cropland,,,,
,,Tropical forest,24,11-50 yr,loam,0-30 cm,48.83042564,,Forest,Cropland,,,,
"Zhang  et al., 2007",America,Tropical forest,20,11-50 yr,loam,0-15 cm,64.61774875,"Zhang MK, Zheng SA, Wang LP. 2007. Chemical forms and distributions of organic carbon, nitrogen and phosphorus in sandy soil aggregate fractions as affected by land uses. Scientia Agricultura Sinica, 40: 1703-1711",Forest,Cropland,,,,
,,Tropical forest,20,11-50 yr,loam,0-15 cm,80.6377257,,Forest,Cropland,,,,
"Wang and Zhang, 2011",China,Tropical forest,30,11-50 yr,clay loam,0-30 cm,35.75838706,"Wang Y, Zhang MK. 2011. Distribution characters of particulate organic carbon and black carbon in soils under different forestry vegetations. Journal of Zhengjiang University (Agric. & Life Sci.), 37: 193-202",Forest,Cropland,"Wuyanling nature reserve, Taishun County, Zhejiang Province",ChinaCst,GLU078,11
"Zhang  et al., 2008",China,Temperate forest,4,<=10 yr,loam,0-20 cm,26.75570875,"Zhang F, Zheng FL, An SS. 2008. Dynamic changes of soil nutrient and enzyme activities under accelerated soil erosion conditions caused by deforestation during the past 100 years. Plant Nutrition and Fertiizer Science, 14: 666-672",Forest,Cropland,,,,
,,Temperate forest,9,<=10 yr,loam,0-20 cm,42.69711331,,Forest,Cropland,,,,
,,Temperate forest,12,11-50 yr,loam,0-20 cm,45.28220595,,Forest,Cropland,,,,
,,Temperate forest,33,11-50 yr,loam,0-20 cm,72.42567859,,Forest,Cropland,,,,
,,Temperate forest,43,11-50 yr,loam,0-20 cm,77.59586385,,Forest,Cropland,,,,
,,Temperate forest,52,>50 yr,loam,0-20 cm,73.7182249,,Forest,Cropland,,,,
,,Temperate forest,75,>50 yr,loam,0-20 cm,83.19689789,,Forest,Cropland,,,,
,,Temperate forest,100,>50 yr,loam,0-20 cm,84.48944421,,Forest,Cropland,,,,
"Zhou  et al., 2011",China,Tropical forest,27,11-50 yr,clayey,0-20 cm,63.49699837,"Zhou CY, Chen X, Zhuo GY, Yan JH. 2011. Effects of different land uses and cultivation periods on spatial distribution of soil nutrients in karst mountainous region. Chinese Journal of Applied Environmental Biology, 17: 63-68",Forest,Cropland,,,,
,,Tropical forest,39,11-50 yr,clayey,0-20 cm,58.22629025,,Forest,Cropland,,,,
,,Tropical forest,48,11-50 yr,clayey,0-20 cm,74.92388227,,Forest,Cropland,,,,
"Wei  et al., 2012",China,Temperate forest,4,<=10 yr,clay loam,0-20 cm,92.16226795,"Wei XR, Shao MA, Gale WJ, Zhang XC, Li LH. 2012. Dynamics of aggregate-associated organic carbon following conversion of forest to cropland. Soil Biology & Biochemistry, 10.1016/j.soilbio.2012.10.020",Forest,Cropland,"Huanglongshan Forest, Shaanxi, China",HuangHeR,GLU079,11
"Wei  et al., 2013",China,Temperate forest,50,11-50 yr,clay loam,0-20 cm,95.85221679,"Wei XR, Shao MA, Gale WJ, Zhang XC, Li LH. 2012. Dynamics of aggregate-associated organic carbon following conversion of forest to cropland. Soil Biology & Biochemistry, 10.1016/j.soilbio.2012.10.021",Forest,Cropland,"Huanglongshan Forest, Shaanxi, China",HuangHeR,GLU080,12
"Wei  et al., 2014",China,Temperate forest,100,>50 yr,clay loam,0-20 cm,90.06429325,"Wei XR, Shao MA, Gale WJ, Zhang XC, Li LH. 2012. Dynamics of aggregate-associated organic carbon following conversion of forest to cropland. Soil Biology & Biochemistry, 10.1016/j.soilbio.2012.10.022",Forest,Cropland,"Huanglongshan Forest, Shaanxi, China",HuangHeR,GLU081,13
